"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Fossil Gas","4685.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Fossil Hard coal","272.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Hydro Pumped Storage","391.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Hydro Run-of-river and poundage","880.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Hydro Water Reservoir","1343.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Marine","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Nuclear","7092.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Other","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Other renewable","73.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Solar","28.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Waste","248.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Wind Onshore","5171.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Biomass","214.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Fossil Gas","4636.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Fossil Hard coal","272.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Hydro Pumped Storage","533.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Hydro Run-of-river and poundage","860.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Hydro Water Reservoir","1303.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Marine","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Nuclear","7092.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Other","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Other renewable","73.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Solar","28.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Waste","246.00"
