 "MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
 "02/01/2024 06:45:00 - 02/01/2024 07:00:00","BZN|ES","23030.00","22136.00"
 "02/01/2024 07:00:00 - 02/01/2024 07:15:00","BZN|ES","24157.00","22952.00"
 "02/01/2024 07:15:00 - 02/01/2024 07:30:00","BZN|ES","25050.00","24340.00"
 "02/01/2024 07:30:00 - 02/01/2024 07:45:00","BZN|ES","25864.00","25056.00"
 "02/01/2024 07:45:00 - 02/01/2024 08:00:00","BZN|ES","26599.00","25924.00"
 "02/01/2024 08:00:00 - 02/01/2024 08:15:00","BZN|ES","27429.00","26540.00"
 "02/01/2024 08:15:00 - 02/01/2024 08:30:00","BZN|ES","28029.00","27376.00"
 "02/01/2024 08:30:00 - 02/01/2024 08:45:00","BZN|ES","28566.00","28080.00"
 "02/01/2024 08:45:00 - 02/01/2024 09:00:00","BZN|ES","29038.00","28424.00"
 "02/01/2024 09:00:00 - 02/01/2024 09:15:00","BZN|ES","29601.00","28724.00"
 "02/01/2024 09:15:00 - 02/01/2024 09:30:00","BZN|ES","29932.00","29364.00"
 "02/01/2024 09:30:00 - 02/01/2024 09:45:00","BZN|ES","30186.00","29784.00"
 "02/01/2024 09:45:00 - 02/01/2024 10:00:00","BZN|ES","30370.00","30052.00"
 "02/01/2024 10:00:00 - 02/01/2024 10:15:00","BZN|ES","30599.00","30308.00"
 "02/01/2024 10:15:00 - 02/01/2024 10:30:00","BZN|ES","30661.00","30492.00"
 "02/01/2024 10:30:00 - 02/01/2024 10:45:00","BZN|ES","30672.00","30660.00"
 "02/01/2024 10:45:00 - 02/01/2024 11:00:00","BZN|ES","30638.00","30632.00"
 "02/01/2024 11:00:00 - 02/01/2024 11:15:00","BZN|ES","30621.00","30508.00"
 "02/01/2024 11:15:00 - 02/01/2024 11:30:00","BZN|ES","30515.00","30488.00"
 "02/01/2024 11:30:00 - 02/01/2024 11:45:00","BZN|ES","30385.00","30356.00"
 "02/01/2024 11:45:00 - 02/01/2024 12:00:00","BZN|ES","30247.00","30288.00"
 "02/01/2024 12:00:00 - 02/01/2024 12:15:00","BZN|ES","30054.00","30340.00"
 "02/01/2024 12:15:00 - 02/01/2024 12:30:00","BZN|ES","29963.00","30300.00"
 "02/01/2024 12:30:00 - 02/01/2024 12:45:00","BZN|ES","29917.00","30336.00"
 "02/01/2024 12:45:00 - 02/01/2024 13:00:00","BZN|ES","29902.00","30444.00"
 "02/01/2024 13:00:00 - 02/01/2024 13:15:00","BZN|ES","29932.00","30440.00"
 "02/01/2024 13:15:00 - 02/01/2024 13:30:00","BZN|ES","29910.00","30708.00"
 "02/01/2024 13:30:00 - 02/01/2024 13:45:00","BZN|ES","29855.00","30936.00"
 "02/01/2024 13:45:00 - 02/01/2024 14:00:00","BZN|ES","29775.00","30852.00"
 "02/01/2024 14:00:00 - 02/01/2024 14:15:00","BZN|ES","29676.00","31024.00"
 "02/01/2024 14:15:00 - 02/01/2024 14:30:00","BZN|ES","29582.00","30928.00"
 "02/01/2024 14:30:00 - 02/01/2024 14:45:00","BZN|ES","29497.00","31076.00"
 "02/01/2024 14:45:00 - 02/01/2024 15:00:00","BZN|ES","29427.00","31016.00"
 "02/01/2024 15:00:00 - 02/01/2024 15:15:00","BZN|ES","29325.00","30856.00"
 "02/01/2024 15:15:00 - 02/01/2024 15:30:00","BZN|ES","29292.00","30636.00"
 "02/01/2024 15:30:00 - 02/01/2024 15:45:00","BZN|ES","29285.00","30564.00"
 "02/01/2024 15:45:00 - 02/01/2024 16:00:00","BZN|ES","29319.00","30524.00"
 "02/01/2024 16:00:00 - 02/01/2024 16:15:00","BZN|ES","29258.00","30452.00"
 "02/01/2024 16:15:00 - 02/01/2024 16:30:00","BZN|ES","29422.00","30484.00"
 "02/01/2024 16:30:00 - 02/01/2024 16:45:00","BZN|ES","29673.00","30392.00"
 "02/01/2024 16:45:00 - 02/01/2024 17:00:00","BZN|ES","30000.00","30428.00"
 "02/01/2024 17:00:00 - 02/01/2024 17:15:00","BZN|ES","30331.00","30572.00"
 "02/01/2024 17:15:00 - 02/01/2024 17:30:00","BZN|ES","30762.00","30736.00"
