"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|ES","Without sequence","61.1",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|ES","Without sequence","68.26",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|ES","Without sequence","75.0",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|ES","Without sequence","86.39",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|ES","Without sequence","90.88",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|ES","Without sequence","90.0",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|ES","Without sequence","76.47",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|ES","Without sequence","57.68",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|ES","Without sequence","45.87",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|ES","Without sequence","44.07",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|ES","Without sequence","40.0",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|ES","Without sequence","30.55",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|ES","Without sequence","44.37",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|ES","Without sequence","67.0",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|ES","Without sequence","75.47",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|ES","Without sequence","78.19",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|ES","Without sequence","79.94",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|ES","Without sequence","78.26",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|ES","Without sequence","75.0",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|ES","Without sequence","68.0",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|ES","Without sequence","52.5",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|ES","Without sequence","45.0",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|ES","Without sequence","44.2",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|ES","Without sequence","43.5",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|ES","Without sequence","23.99",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|ES","Without sequence","23.99",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|ES","Without sequence","30.51",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|ES","Without sequence","44.4",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|ES","Without sequence","45.8",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|ES","Without sequence","45.0",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|ES","Without sequence","25.0",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|ES","Without sequence","4.0",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|ES","Without sequence","3.2",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|ES","Without sequence","3.2",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|ES","Without sequence","3.2",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|ES","Without sequence","3.2",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|ES","Without sequence","25.0",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|ES","Without sequence","65.0",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|ES","Without sequence","85.96",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|ES","Without sequence","92.05",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|ES","Without sequence","92.14",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|ES","Without sequence","88.0",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|ES","Without sequence","86.57",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|ES","Without sequence","79.87",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|ES","Without sequence","84.08",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|ES","Without sequence","79.82",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|ES","Without sequence","76.76",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|ES","Without sequence","73.46",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|ES","Without sequence","71.86",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|ES","Without sequence","72.08",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|ES","Without sequence","74.9",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|ES","Without sequence","77.69",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|ES","Without sequence","81.79",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|ES","Without sequence","84.86",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|ES","Without sequence","61.0",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|ES","Without sequence","55.87",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|ES","Without sequence","50.6",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|ES","Without sequence","51.77",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|ES","Without sequence","49.98",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|ES","Without sequence","45.57",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|ES","Without sequence","60.0",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|ES","Without sequence","92.05",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|ES","Without sequence","104.85",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|ES","Without sequence","103.55",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|ES","Without sequence","100.5",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|ES","Without sequence","95.89",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|ES","Without sequence","91.17",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|ES","Without sequence","83.86",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|ES","Without sequence","86.97",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|ES","Without sequence","84.18",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|ES","Without sequence","81.53",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|ES","Without sequence","78.79",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|ES","Without sequence","78.43",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|ES","Without sequence","82.1",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|ES","Without sequence","94.3",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|ES","Without sequence","111.07",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|ES","Without sequence","120.4",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|ES","Without sequence","116.98",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|ES","Without sequence","110.57",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|ES","Without sequence","103.0",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|ES","Without sequence","95.46",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|ES","Without sequence","93.88",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|ES","Without sequence","100.0",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|ES","Without sequence","107.98",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|ES","Without sequence","115.27",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|ES","Without sequence","125.17",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|ES","Without sequence","129.99",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|ES","Without sequence","130.0",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|ES","Without sequence","133.28",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|ES","Without sequence","129.47",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|ES","Without sequence","115.42",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|ES","Without sequence","107.98",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|ES","Without sequence","98.92",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|ES","Without sequence","100.0",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|ES","Without sequence","98.43",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|ES","Without sequence","98.62",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|ES","Without sequence","97.15",""
