"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|DE-LU"
"02.01.2024 05:00 - 02.01.2024 05:15","-24.98","EUR"
"02.01.2024 05:15 - 02.01.2024 05:30","-0.06","EUR"
"02.01.2024 05:30 - 02.01.2024 05:45","5.09","EUR"
"02.01.2024 05:45 - 02.01.2024 06:00","152.11","EUR"
"02.01.2024 06:00 - 02.01.2024 06:15","-4.90","EUR"
"02.01.2024 06:15 - 02.01.2024 06:30","37.54","EUR"
"02.01.2024 06:30 - 02.01.2024 06:45","69.91","EUR"
"02.01.2024 06:45 - 02.01.2024 07:00","84.92","EUR"
"02.01.2024 07:00 - 02.01.2024 07:15","54.94","EUR"
"02.01.2024 07:15 - 02.01.2024 07:30","69.97","EUR"
"02.01.2024 07:30 - 02.01.2024 07:45","84.97","EUR"
"02.01.2024 07:45 - 02.01.2024 08:00","110.05","EUR"
"02.01.2024 08:00 - 02.01.2024 08:15","20.10","EUR"
"02.01.2024 08:15 - 02.01.2024 08:30","82.41","EUR"
"02.01.2024 08:30 - 02.01.2024 08:45","71.16","EUR"
"02.01.2024 08:45 - 02.01.2024 09:00","92.41","EUR"
"02.01.2024 09:00 - 02.01.2024 09:15","84.90","EUR"
"02.01.2024 09:15 - 02.01.2024 09:30","79.93","EUR"
"02.01.2024 09:30 - 02.01.2024 09:45","87.41","EUR"
"02.01.2024 09:45 - 02.01.2024 10:00","89.92","EUR"
"02.01.2024 10:00 - 02.01.2024 10:15","74.98","EUR"
"02.01.2024 10:15 - 02.01.2024 10:30","87.42","EUR"
"02.01.2024 10:30 - 02.01.2024 10:45","89.92","EUR"
"02.01.2024 10:45 - 02.01.2024 11:00","89.92","EUR"
"02.01.2024 11:00 - 02.01.2024 11:15","89.95","EUR"
"02.01.2024 11:15 - 02.01.2024 11:30","87.42","EUR"
"02.01.2024 11:30 - 02.01.2024 11:45","87.42","EUR"
"02.01.2024 11:45 - 02.01.2024 12:00","44.00","EUR"
"02.01.2024 12:00 - 02.01.2024 12:15","89.90","EUR"
"02.01.2024 12:15 - 02.01.2024 12:30","87.42","EUR"
"02.01.2024 12:30 - 02.01.2024 12:45","84.91","EUR"
"02.01.2024 12:45 - 02.01.2024 13:00","27.59","EUR"
"02.01.2024 13:00 - 02.01.2024 13:15","69.88","EUR"
"02.01.2024 13:15 - 02.01.2024 13:30","30.10","EUR"
"02.01.2024 13:30 - 02.01.2024 13:45","82.42","EUR"
"02.01.2024 13:45 - 02.01.2024 14:00","79.91","EUR"
"02.01.2024 14:00 - 02.01.2024 14:15","82.43","EUR"
"02.01.2024 14:15 - 02.01.2024 14:30","82.42","EUR"
"02.01.2024 14:30 - 02.01.2024 14:45","30.09","EUR"
"02.01.2024 14:45 - 02.01.2024 15:00","66.76","EUR"
"02.01.2024 15:00 - 02.01.2024 15:15","65.55","EUR"
"02.01.2024 15:15 - 02.01.2024 15:30","82.41","EUR"
"02.01.2024 15:30 - 02.01.2024 15:45","87.40","EUR"
"02.01.2024 15:45 - 02.01.2024 16:00","42.58","EUR"
"02.01.2024 16:00 - 02.01.2024 16:15","79.93","EUR"
"02.01.2024 16:15 - 02.01.2024 16:30","87.41","EUR"
"02.01.2024 16:30 - 02.01.2024 16:45","65.26","EUR"
"02.01.2024 16:45 - 02.01.2024 17:00","73.41","EUR"
"02.01.2024 17:00 - 02.01.2024 17:15","71.68","EUR"
"02.01.2024 17:15 - 02.01.2024 17:30","42.60","EUR"
"02.01.2024 17:30 - 02.01.2024 17:45","102.40","EUR"
"02.01.2024 17:45 - 02.01.2024 18:00","107.41","EUR"
"02.01.2024 18:00 - 02.01.2024 18:15","99.94","EUR"
