"Time (CET/CEST)","France (FR) > Spain (ES) [MW]","Spain (ES) > France (FR) [MW]"
"03.01.2024 00:45 - 03.01.2024 01:00","2757","0"
"03.01.2024 01:00 - 03.01.2024 01:15","2743","0"
"03.01.2024 01:15 - 03.01.2024 01:30","2787","0"
"03.01.2024 01:30 - 03.01.2024 01:45","2768","0"
"03.01.2024 01:45 - 03.01.2024 02:00","2666","0"
"03.01.2024 02:00 - 03.01.2024 02:15","2288","0"
"03.01.2024 02:15 - 03.01.2024 02:30","2030","0"
"03.01.2024 02:30 - 03.01.2024 02:45","1956","0"
"03.01.2024 02:45 - 03.01.2024 03:00","2037","0"
"03.01.2024 03:00 - 03.01.2024 03:15","2077","0"
"03.01.2024 03:15 - 03.01.2024 03:30","2290","0"
"03.01.2024 03:30 - 03.01.2024 03:45","2336","0"
"03.01.2024 03:45 - 03.01.2024 04:00","2244","0"
"03.01.2024 04:00 - 03.01.2024 04:15","2250","0"
"03.01.2024 04:15 - 03.01.2024 04:30","2012","0"
"03.01.2024 04:30 - 03.01.2024 04:45","1866","0"
"03.01.2024 04:45 - 03.01.2024 05:00","2078","0"
"03.01.2024 05:00 - 03.01.2024 05:15","1973","0"
"03.01.2024 05:15 - 03.01.2024 05:30","2684","0"
"03.01.2024 05:30 - 03.01.2024 05:45","2968","0"
"03.01.2024 05:45 - 03.01.2024 06:00","2884","0"
"03.01.2024 06:00 - 03.01.2024 06:15","2872","0"
"03.01.2024 06:15 - 03.01.2024 06:30","2652","0"
"03.01.2024 06:30 - 03.01.2024 06:45","2510","0"
"03.01.2024 06:45 - 03.01.2024 07:00","2405","0"
"03.01.2024 07:00 - 03.01.2024 07:15","2478","0"
"03.01.2024 07:15 - 03.01.2024 07:30","2423","0"
"03.01.2024 07:30 - 03.01.2024 07:45","2513","0"
"03.01.2024 07:45 - 03.01.2024 08:00","2623","0"
"03.01.2024 08:00 - 03.01.2024 08:15","2425","0"
"03.01.2024 08:15 - 03.01.2024 08:30","2513","0"
"03.01.2024 08:30 - 03.01.2024 08:45","2500","0"
"03.01.2024 08:45 - 03.01.2024 09:00","2571","0"
"03.01.2024 09:00 - 03.01.2024 09:15","2539","0"
"03.01.2024 09:15 - 03.01.2024 09:30","2479","0"
"03.01.2024 09:30 - 03.01.2024 09:45","2352","0"
"03.01.2024 09:45 - 03.01.2024 10:00","2418","0"
"03.01.2024 10:00 - 03.01.2024 10:15","2502","0"
"03.01.2024 10:15 - 03.01.2024 10:30","2917","0"
"03.01.2024 10:30 - 03.01.2024 10:45","3072","0"
"03.01.2024 10:45 - 03.01.2024 11:00","2993","0"
"03.01.2024 11:00 - 03.01.2024 11:15","3079","0"
"03.01.2024 11:15 - 03.01.2024 11:30","3189","0"
"03.01.2024 11:30 - 03.01.2024 11:45","3012","0"
"03.01.2024 11:45 - 03.01.2024 12:00","2930","0"
"03.01.2024 12:00 - 03.01.2024 12:15","3096","0"
"03.01.2024 12:15 - 03.01.2024 12:30","2894","0"
"03.01.2024 12:30 - 03.01.2024 12:45","2978","0"
"03.01.2024 12:45 - 03.01.2024 13:00","3214","0"
"03.01.2024 13:00 - 03.01.2024 13:15","3249","0"
"03.01.2024 13:15 - 03.01.2024 13:30","2732","0"
"03.01.2024 13:30 - 03.01.2024 13:45","2968","0"
"03.01.2024 13:45 - 03.01.2024 14:00","2805","0"
"03.01.2024 14:00 - 03.01.2024 14:15","2928","0"
"03.01.2024 14:15 - 03.01.2024 14:30","2444","0"
"03.01.2024 14:30 - 03.01.2024 14:45","2377","0"
"03.01.2024 14:45 - 03.01.2024 15:00","2174","0"
"03.01.2024 15:00 - 03.01.2024 15:15","2081","0"
"03.01.2024 15:15 - 03.01.2024 15:30","2405","0"
"03.01.2024 15:30 - 03.01.2024 15:45","2539","0"
"03.01.2024 15:45 - 03.01.2024 16:00","2519","0"
"03.01.2024 16:00 - 03.01.2024 16:15","2607","0"
"03.01.2024 16:15 - 03.01.2024 16:30","3294","0"
"03.01.2024 16:30 - 03.01.2024 16:45","3363","0"
"03.01.2024 16:45 - 03.01.2024 17:00","3342","0"
"03.01.2024 17:00 - 03.01.2024 17:15","3291","0"
"03.01.2024 17:15 - 03.01.2024 17:30","3397","0"
"03.01.2024 17:30 - 03.01.2024 17:45","3340","0"
"03.01.2024 17:45 - 03.01.2024 18:00","3385","0"
"03.01.2024 18:00 - 03.01.2024 18:15","3276","0"
"03.01.2024 18:15 - 03.01.2024 18:30","3246","0"
"03.01.2024 18:30 - 03.01.2024 18:45","3338","0"
"03.01.2024 18:45 - 03.01.2024 19:00","3356","0"
"03.01.2024 19:00 - 03.01.2024 19:15","3314","0"
"03.01.2024 19:15 - 03.01.2024 19:30","3140","0"
"03.01.2024 19:30 - 03.01.2024 19:45","3201","0"
"03.01.2024 19:45 - 03.01.2024 20:00","3277","0"
"03.01.2024 20:00 - 03.01.2024 20:15","3294","0"
"03.01.2024 20:15 - 03.01.2024 20:30","3179","0"
"03.01.2024 20:30 - 03.01.2024 20:45","3243","0"
"03.01.2024 20:45 - 03.01.2024 21:00","3305","0"
"03.01.2024 21:00 - 03.01.2024 21:15","3307","0"
"03.01.2024 21:15 - 03.01.2024 21:30","3227","0"
"03.01.2024 21:30 - 03.01.2024 21:45","3307","0"
"03.01.2024 21:45 - 03.01.2024 22:00","3287","0"
"03.01.2024 22:00 - 03.01.2024 22:15","3061","0"
"03.01.2024 22:15 - 03.01.2024 22:30","2727","0"
"03.01.2024 22:30 - 03.01.2024 22:45","2753","0"
"03.01.2024 22:45 - 03.01.2024 23:00","2886","0"
"03.01.2024 23:00 - 03.01.2024 23:15","2907","0"
"03.01.2024 23:15 - 03.01.2024 23:30","2972","0"
"03.01.2024 23:30 - 03.01.2024 23:45","2865","0"
"03.01.2024 23:45 - 04.01.2024 00:00","2767","0"
"04.01.2024 00:00 - 04.01.2024 00:15","2734","0"
"04.01.2024 00:15 - 04.01.2024 00:30","2633","0"
"04.01.2024 00:30 - 04.01.2024 00:45","2566","0"
"04.01.2024 00:45 - 04.01.2024 01:00","2771","0"
